;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;;Num PCs;Sat;NonSat;Und;Percent-Und
HFather2Man--('ADD_CLASS', 'Child', True, 0) - Pos_FourMembers;0.578947368;0.421052632;0.210526316;0.210526316;0.578947368;0.578947368;0.210526316;0.210526316;0.210526316;0.578947368;0.210526316;0.210526316;0.315789474;0.842105263;0.789473684;0.210526316;0.210526316;0.578947368; ;446;13;50;383;85.87443946
HFather2Man--('ADD_CLASS', 'Man', False, 1) - Pos_MotherFather;0.263157895;0.263157895;0.736842105;0.157894737;0.263157895;0.263157895;0.157894737;0.157894737;0.157894737;0.263157895;0.157894737;0.157894737;0.789473684;0.894736842;0.842105263;0.736842105;0.157894737;0.263157895; ;254;54;18;182;71.65354331
HFather2Man--('DELETE_ELEMENT', 5) - Pos_MotherFather;0.263157895;0.263157895;0.684210526;0.157894737;0.263157895;0.263157895;0.157894737;0.157894737;0.157894737;0.263157895;0.157894737;0.157894737;0.684210526;0.894736842;0.842105263;0.684210526;0.157894737;0.263157895; ;254;42;30;182;71.65354331
HFather2Man--('DELETE_ELEMENT', 7) - Pos_FourMembers;0.526315789;0.236842105;0.236842105;0.236842105;0.552631579;0.526315789;0.342105263;0.236842105;0.236842105;0.526315789;0.236842105;0.236842105;0.236842105;0.789473684;0.526315789;0.236842105;0.763157895;0.5; ;221;0;21;200;90.49773756
HFather2Man--('DELETE_ELEMENT', 7) - Pos_MotherFather;0.263157895;0.236842105;0.710526316;0.131578947;0.289473684;0.263157895;0.131578947;0.131578947;0.131578947;0.263157895;0.131578947;0.131578947;0.657894737;0.894736842;0.842105263;0.710526316;0.131578947;0.236842105; ;221;42;30;149;67.42081448
HFather2Man--('DELETE_EQUATION', 0) - Pos_MotherFather;0.263157895;0.263157895;0.684210526;0.157894737;0.263157895;0.263157895;0.157894737;0.157894737;0.157894737;0.263157895;0.157894737;0.157894737;0.684210526;0.894736842;0.842105263;0.684210526;0.157894737;0.263157895; ;254;42;30;182;71.65354331
HFather2Man--('RENAME_CLASS', 7, 'Person') - Pos_FourMembers;0.526315789;0.236842105;0.236842105;0.236842105;0.552631579;0.526315789;0.342105263;0.236842105;0.236842105;0.526315789;0.236842105;0.236842105;0.236842105;0.789473684;0.526315789;0.236842105;0.763157895;0.5; ;255;0;21;234;91.76470588
HFather2Man--('RENAME_CLASS', 7, 'Person') - Pos_MotherFather;0.263157895;0.236842105;0.710526316;0.131578947;0.289473684;0.263157895;0.131578947;0.131578947;0.131578947;0.263157895;0.131578947;0.131578947;0.657894737;0.894736842;0.842105263;0.710526316;0.131578947;0.236842105; ;255;42;30;183;71.76470588
HFather2Man--('MODIFY_EQUATION', 0, ((7, 'fullName'), (3, 'firstName'))) - Pos_MotherFather;0.263157895;0.263157895;0.684210526;0.157894737;0.263157895;0.263157895;0.157894737;0.157894737;0.157894737;0.263157895;0.157894737;0.157894737;0.684210526;0.894736842;0.842105263;0.684210526;0.157894737;0.263157895; ;254;42;30;182;71.65354331
HFather2Man--('MODIFY_EQUATION', 0, ((7, 'fullName'), (5, 'lastName'))) - Pos_MotherFather;0.263157895;0.263157895;0.684210526;0.157894737;0.263157895;0.263157895;0.157894737;0.157894737;0.157894737;0.263157895;0.157894737;0.157894737;0.684210526;0.894736842;0.842105263;0.684210526;0.157894737;0.263157895; ;254;42;30;182;71.65354331
HFather2Man--('MODIFY_EQUATION', 0, ((7, 'fullName'), ('concat', ((5, 'lastName'), (3, 'firstName'))))) - Pos_MotherFather;0.263157895;0.263157895;0.684210526;0.157894737;0.263157895;0.263157895;0.157894737;0.157894737;0.157894737;0.263157895;0.157894737;0.157894737;0.684210526;0.894736842;0.842105263;0.684210526;0.157894737;0.263157895; ;254;42;30;182;71.65354331
HFather2Man--('MODIFY_EQUATION', 0, ((7, 'fullName'), ('concat', ((5, 'lastName'), (5, 'lastName'))))) - Pos_MotherFather;0.263157895;0.263157895;0.684210526;0.157894737;0.263157895;0.263157895;0.157894737;0.157894737;0.157894737;0.263157895;0.157894737;0.157894737;0.684210526;0.894736842;0.842105263;0.684210526;0.157894737;0.263157895; ;254;42;30;182;71.65354331
HFather2Man--('MODIFY_EQUATION', 0, ((7, 'fullName'), ('concat', ((3, 'firstName'), (3, 'firstName'))))) - Pos_MotherFather;0.263157895;0.263157895;0.684210526;0.157894737;0.263157895;0.263157895;0.157894737;0.157894737;0.157894737;0.263157895;0.157894737;0.157894737;0.684210526;0.894736842;0.842105263;0.684210526;0.157894737;0.263157895; ;254;42;30;182;71.65354331
