;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;;Num PCs;Sat;NonSat;Und;Percent-Und
HFather2Man--('ADD_CLASS', 'Child', True, 0) - Pos_FourMembers;0.7368421052631579;0.5789473684210527;0.3684210526315789;0.3684210526315789;0.7368421052631579;0.7368421052631579;0.3684210526315789;0.3684210526315789;0.3684210526315789;0.7368421052631579;0.3684210526315789;0.3684210526315789;0.47368421052631576;1.0;1.0;0.3684210526315789;0.3684210526315789;0.7368421052631579; ;446;13;50;383;=383* 100 / 446
HFather2Man--('ADD_CLASS', 'Man', False, 1) - Pos_MotherFather;0.3684210526315789;0.3684210526315789;0.8947368421052632;0.2631578947368421;0.3684210526315789;0.3684210526315789;0.2631578947368421;0.2631578947368421;0.2631578947368421;0.3684210526315789;0.2631578947368421;0.2631578947368421;0.8947368421052632;1.0;1.0;0.8947368421052632;0.2631578947368421;0.3684210526315789; ;254;54;18;182;=182* 100 / 254
HFather2Man--('DELETE_ELEMENT', 5) - Pos_MotherFather;0.3684210526315789;0.3684210526315789;0.8947368421052632;0.2631578947368421;0.3684210526315789;0.3684210526315789;0.2631578947368421;0.2631578947368421;0.2631578947368421;0.3684210526315789;0.2631578947368421;0.2631578947368421;0.7894736842105263;1.0;1.0;0.8947368421052632;0.2631578947368421;0.3684210526315789; ;254;42;30;182;=182* 100 / 254
HFather2Man--('DELETE_ELEMENT', 7) - Pos_FourMembers;1.0;0.42105263157894735;0.42105263157894735;0.42105263157894735;1.0;1.0;0.5263157894736842;0.42105263157894735;0.42105263157894735;1.0;0.42105263157894735;0.42105263157894735;0.42105263157894735;1.0;1.0;0.42105263157894735;0.9473684210526315;0.9473684210526315; ;221;0;21;200;=200* 100 / 221
HFather2Man--('DELETE_ELEMENT', 7) - Pos_MotherFather;0.3684210526315789;0.3157894736842105;0.8947368421052632;0.21052631578947367;0.3684210526315789;0.3684210526315789;0.21052631578947367;0.21052631578947367;0.21052631578947367;0.3684210526315789;0.21052631578947367;0.21052631578947367;0.7368421052631579;1.0;1.0;0.8947368421052632;0.21052631578947367;0.3157894736842105; ;221;42;30;149;=149* 100 / 221
HFather2Man--('DELETE_EQUATION', 0) - Pos_MotherFather;0.3684210526315789;0.3684210526315789;0.8947368421052632;0.2631578947368421;0.3684210526315789;0.3684210526315789;0.2631578947368421;0.2631578947368421;0.2631578947368421;0.3684210526315789;0.2631578947368421;0.2631578947368421;0.7894736842105263;1.0;1.0;0.8947368421052632;0.2631578947368421;0.3684210526315789; ;254;42;30;182;=182* 100 / 254
HFather2Man--('RENAME_CLASS', 7, 'Person') - Pos_FourMembers;1.0;0.42105263157894735;0.42105263157894735;0.42105263157894735;1.0;1.0;0.5263157894736842;0.42105263157894735;0.42105263157894735;1.0;0.42105263157894735;0.42105263157894735;0.42105263157894735;1.0;1.0;0.42105263157894735;0.9473684210526315;0.9473684210526315; ;255;0;21;234;=234* 100 / 255
HFather2Man--('RENAME_CLASS', 7, 'Person') - Pos_MotherFather;0.3684210526315789;0.3157894736842105;0.8947368421052632;0.21052631578947367;0.3684210526315789;0.3684210526315789;0.21052631578947367;0.21052631578947367;0.21052631578947367;0.3684210526315789;0.21052631578947367;0.21052631578947367;0.7368421052631579;1.0;1.0;0.8947368421052632;0.21052631578947367;0.3157894736842105; ;255;42;30;183;=183* 100 / 255
HFather2Man--('MODIFY_EQUATION', 0, ((7, 'fullName'), (3, 'firstName'))) - Pos_MotherFather;0.3684210526315789;0.3684210526315789;0.8947368421052632;0.2631578947368421;0.3684210526315789;0.3684210526315789;0.2631578947368421;0.2631578947368421;0.2631578947368421;0.3684210526315789;0.2631578947368421;0.2631578947368421;0.7894736842105263;1.0;1.0;0.8947368421052632;0.2631578947368421;0.3684210526315789; ;254;42;30;182;=182* 100 / 254
HFather2Man--('MODIFY_EQUATION', 0, ((7, 'fullName'), (5, 'lastName'))) - Pos_MotherFather;0.3684210526315789;0.3684210526315789;0.8947368421052632;0.2631578947368421;0.3684210526315789;0.3684210526315789;0.2631578947368421;0.2631578947368421;0.2631578947368421;0.3684210526315789;0.2631578947368421;0.2631578947368421;0.7894736842105263;1.0;1.0;0.8947368421052632;0.2631578947368421;0.3684210526315789; ;254;42;30;182;=182* 100 / 254
HFather2Man--('MODIFY_EQUATION', 0, ((7, 'fullName'), ('concat', ((5, 'lastName'), (3, 'firstName'))))) - Pos_MotherFather;0.3684210526315789;0.3684210526315789;0.8947368421052632;0.2631578947368421;0.3684210526315789;0.3684210526315789;0.2631578947368421;0.2631578947368421;0.2631578947368421;0.3684210526315789;0.2631578947368421;0.2631578947368421;0.7894736842105263;1.0;1.0;0.8947368421052632;0.2631578947368421;0.3684210526315789; ;254;42;30;182;=182* 100 / 254
