;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;;Num PCs;Sat;NonSat;Und;Percent-Und
HMapModule--('ADD_CLASS', 'PhysicalNode', True, 0) - UnitR01c;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.3333333333333333;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778; ;4;0;4;0;=0* 100 / 4
HMapModule--('ADD_CLASS', 'PhysicalNode', True, 0) - UnitR03;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.3333333333333333;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778; ;4;0;4;0;=0* 100 / 4
HMapModule--('ADD_CLASS', 'PhysicalNode', True, 0) - UnitR05;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.3333333333333333;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778; ;4;0;4;0;=0* 100 / 4
HMapModule--('ADD_CLASS', 'Partition', True, 0) - UnitR01c;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.3333333333333333;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778; ;4;0;4;0;=0* 100 / 4
HMapModule--('ADD_CLASS', 'Partition', True, 0) - UnitR03;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.3333333333333333;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778; ;4;0;4;0;=0* 100 / 4
HMapModule--('ADD_CLASS', 'Partition', True, 0) - UnitR05;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.3333333333333333;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778; ;4;0;4;0;=0* 100 / 4
HMapModule--('ADD_CLASS', 'Module', True, 0) - UnitR01c;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.3333333333333333;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778; ;4;0;4;0;=0* 100 / 4
HMapModule--('ADD_CLASS', 'Module', True, 0) - UnitR03;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.3333333333333333;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778; ;4;0;4;0;=0* 100 / 4
HMapModule--('ADD_CLASS', 'Module', True, 0) - UnitR05;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.3333333333333333;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778; ;4;0;4;0;=0* 100 / 4
HMapModule--('ADD_CLASS', 'Scheduler', True, 0) - UnitR01c;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.3333333333333333;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778; ;4;0;4;0;=0* 100 / 4
HMapModule--('ADD_CLASS', 'Scheduler', True, 0) - UnitR03;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.3333333333333333;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778; ;4;0;4;0;=0* 100 / 4
HMapModule--('ADD_CLASS', 'Scheduler', True, 0) - UnitR05;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.3333333333333333;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778; ;4;0;4;0;=0* 100 / 4
HMapModule--('ADD_CLASS', 'Service', True, 0) - UnitR01c;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.3333333333333333;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778; ;4;0;4;0;=0* 100 / 4
HMapModule--('ADD_CLASS', 'Service', True, 0) - UnitR03;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.3333333333333333;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778; ;4;0;4;0;=0* 100 / 4
HMapModule--('ADD_CLASS', 'Service', True, 0) - UnitR05;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.3333333333333333;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778; ;4;0;4;0;=0* 100 / 4
HMapModule--('ADD_CLASS', 'RootElement', True, 0) - UnitR01c;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.3333333333333333;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778; ;4;0;4;0;=0* 100 / 4
HMapModule--('ADD_CLASS', 'RootElement', True, 0) - UnitR03;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.3333333333333333;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.7777777777777778; ;4;0;4;0;=0* 100 / 4
