;;;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;;Num PCs;Sat;NonSat;Und;Percent-Und
HMapRootElementRule;('ADD_CLASS', 'Listen', False, 1) ; IF(MM5): THEN(MM5_then);0.11764705882352941;0.11764705882352941;0.5294117647058824;0.11764705882352941;0.17647058823529413;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.08823529411764705;0.29411764705882354;0.9411764705882353;0.11764705882352941;0.5294117647058824;0.11764705882352941;0.11764705882352941; ;556;549;7;0;0
HMapRootElementRule;('ADD_CLASS', 'LocalDef', False, 1) ; IF(MM7): THEN(MM7_then);0.11764705882352941;0.11764705882352941;0.5294117647058824;0.11764705882352941;0.17647058823529413;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.08823529411764705;0.29411764705882354;0.9411764705882353;0.11764705882352941;0.5294117647058824;0.11764705882352941;0.11764705882352941; ;556;549;7;0;0
HMapRootElementRule;('ADD_CLASS', 'New', False, 1) ; IF(MM6): THEN(MM6_then);0.11764705882352941;0.11764705882352941;0.5294117647058824;0.11764705882352941;0.17647058823529413;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.08823529411764705;0.29411764705882354;0.9411764705882353;0.11764705882352941;0.5294117647058824;0.11764705882352941;0.11764705882352941; ;556;549;7;0;0
HMapRootElementRule;('ADD_CLASS', 'Par', False, 1) ; IF(MM11): THEN(MM11_then);0.11764705882352941;0.11764705882352941;0.5294117647058824;0.11764705882352941;0.17647058823529413;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.08823529411764705;0.29411764705882354;0.9411764705882353;0.11764705882352941;0.5294117647058824;0.11764705882352941;0.11764705882352941; ;556;549;7;0;0
HMapRootElementRule;('ADD_CLASS', 'Seq', False, 1) ; IF(MM11): THEN(MM11_then);0.11764705882352941;0.11764705882352941;0.5294117647058824;0.11764705882352941;0.17647058823529413;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.08823529411764705;0.29411764705882354;0.9411764705882353;0.11764705882352941;0.5294117647058824;0.11764705882352941;0.11764705882352941; ;556;549;7;0;0
HBasicState2ProcDef;('DELETE_ELEMENT', 6) ; IF(MM5): THEN(MM5_then);0.4411764705882353;0.4117647058823529;0.8235294117647058;0.17647058823529413;0.47058823529411764;0.4411764705882353;0.17647058823529413;0.17647058823529413;0.17647058823529413;0.4411764705882353;0.17647058823529413;0.17647058823529413;0.7058823529411764;0.8529411764705883;0.7941176470588236;0.8235294117647058;0.17647058823529413;0.4117647058823529; ;557;372;177;8;1,436265709
HBasicState2ProcDef;('DELETE_ELEMENT', 9) ; IF(MM5): THEN(MM5_then);0.4411764705882353;0.4117647058823529;0.8235294117647058;0.17647058823529413;0.47058823529411764;0.4411764705882353;0.17647058823529413;0.17647058823529413;0.17647058823529413;0.4411764705882353;0.17647058823529413;0.17647058823529413;0.7058823529411764;0.8529411764705883;0.7941176470588236;0.8235294117647058;0.17647058823529413;0.4117647058823529; ;557;372;177;8;1,436265709
HBasicState2ProcDef;('RENAME_CLASS', 6, 'TopLevelElement') ; IF(MM5): THEN(MM5_then);0.5;0.47058823529411764;0.8235294117647058;0.17647058823529413;0.5294117647058824;0.5;0.17647058823529413;0.17647058823529413;0.17647058823529413;0.5;0.17647058823529413;0.17647058823529413;0.7058823529411764;0.8529411764705883;0.7941176470588236;0.8235294117647058;0.17647058823529413;0.47058823529411764; ;565;372;185;8;1,415929204
HCompositeState2ProcDef;('DELETE_ELEMENT', 11) ; IF(MM11): THEN(MM11_then);0.5;0.47058823529411764;0.8235294117647058;0.23529411764705882;0.5294117647058824;0.5;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.5;0.23529411764705882;0.2058823529411765;0.7058823529411764;0.8235294117647058;0.7941176470588236;0.8235294117647058;0.23529411764705882;0.47058823529411764; ;545;323;121;101;18,53211009
HCompositeState2ProcDef;('DELETE_ELEMENT', 12) ; IF(MM11): THEN(MM11_then);0.3235294117647059;0.29411764705882354;0.8235294117647058;0.23529411764705882;0.3529411764705882;0.3235294117647059;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.3235294117647059;0.23529411764705882;0.2058823529411765;0.6470588235294117;0.8235294117647058;0.7647058823529411;0.8235294117647058;0.23529411764705882;0.29411764705882354; ;563;460;95;8;1,420959147
HCompositeState2ProcDef;('DELETE_ELEMENT', 13) ; IF(MM11): THEN(MM11_then);0.3235294117647059;0.29411764705882354;0.8235294117647058;0.23529411764705882;0.3529411764705882;0.3235294117647059;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.3235294117647059;0.23529411764705882;0.2058823529411765;0.6470588235294117;0.8235294117647058;0.7647058823529411;0.8235294117647058;0.23529411764705882;0.29411764705882354; ;563;460;95;8;1,420959147
HCompositeState2ProcDef;('DELETE_ELEMENT', 28) ; IF(MM11): THEN(MM11_then);0.3235294117647059;0.29411764705882354;0.8235294117647058;0.23529411764705882;0.3529411764705882;0.3235294117647059;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.3235294117647059;0.23529411764705882;0.2058823529411765;0.6470588235294117;0.8235294117647058;0.7647058823529411;0.8235294117647058;0.23529411764705882;0.29411764705882354; ;557;454;95;8;1,436265709
HCompositeState2ProcDef;('DELETE_ELEMENT', 29) ; IF(MM11): THEN(MM11_then);0.3235294117647059;0.29411764705882354;0.8235294117647058;0.23529411764705882;0.3529411764705882;0.3235294117647059;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.3235294117647059;0.23529411764705882;0.2058823529411765;0.6470588235294117;0.8235294117647058;0.7647058823529411;0.8235294117647058;0.23529411764705882;0.29411764705882354; ;557;454;95;8;1,436265709
HCompositeState2ProcDef;('RENAME_CLASS', 11, 'Proc') ; IF(MM11): THEN(MM11_then);0.2647058823529412;0.23529411764705882;0.7058823529411764;0.23529411764705882;0.29411764705882354;0.2647058823529412;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.2647058823529412;0.23529411764705882;0.2058823529411765;0.6470588235294117;0.8235294117647058;0.7941176470588236;0.7058823529411764;0.23529411764705882;0.23529411764705882; ;565;323;139;103;18,2300885
HCompositeState2ProcDef;('RENAME_CLASS', 11, 'TopLevelElement') ; IF(MM11): THEN(MM11_then);0.2647058823529412;0.23529411764705882;0.7058823529411764;0.23529411764705882;0.29411764705882354;0.2647058823529412;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.2647058823529412;0.23529411764705882;0.2058823529411765;0.6470588235294117;0.8235294117647058;0.7941176470588236;0.7058823529411764;0.23529411764705882;0.23529411764705882; ;565;323;139;103;18,2300885
HCompositeState2ProcDef;('RENAME_CLASS', 12, 'TopLevelElement') ; IF(MM11): THEN(MM11_then);0.3235294117647059;0.29411764705882354;0.8235294117647058;0.23529411764705882;0.3529411764705882;0.3235294117647059;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.3235294117647059;0.23529411764705882;0.2058823529411765;0.6470588235294117;0.8235294117647058;0.7647058823529411;0.8235294117647058;0.23529411764705882;0.29411764705882354; ;565;462;95;8;1,415929204
