;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;;Num PCs;Sat;NonSat;Und;Percent-Und
HMapRootElementRule--('ADD_CLASS', 'Listen', False, 1) - IF(MM5): THEN(MM5_then);0.11764705882352941;0.11764705882352941;0.5294117647058824;0.11764705882352941;0.17647058823529413;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.058823529411764705;0.29411764705882354;0.8823529411764706;0.11764705882352941;0.5294117647058824;0.11764705882352941;0.11764705882352941; ;556;549;7;0;=0* 100 / 556
HMapRootElementRule--('ADD_CLASS', 'LocalDef', False, 1) - IF(MM7): THEN(MM7_then);0.11764705882352941;0.11764705882352941;0.5294117647058824;0.11764705882352941;0.17647058823529413;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.058823529411764705;0.29411764705882354;0.8823529411764706;0.11764705882352941;0.5294117647058824;0.11764705882352941;0.11764705882352941; ;556;549;7;0;=0* 100 / 556
HMapRootElementRule--('ADD_CLASS', 'New', False, 1) - IF(MM6): THEN(MM6_then);0.11764705882352941;0.11764705882352941;0.5294117647058824;0.11764705882352941;0.17647058823529413;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.058823529411764705;0.29411764705882354;0.8823529411764706;0.11764705882352941;0.5294117647058824;0.11764705882352941;0.11764705882352941; ;556;549;7;0;=0* 100 / 556
HMapRootElementRule--('ADD_CLASS', 'Par', False, 1) - IF(MM11): THEN(MM11_then);0.11764705882352941;0.11764705882352941;0.5294117647058824;0.11764705882352941;0.17647058823529413;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.058823529411764705;0.29411764705882354;0.8823529411764706;0.11764705882352941;0.5294117647058824;0.11764705882352941;0.11764705882352941; ;556;549;7;0;=0* 100 / 556
HMapRootElementRule--('ADD_CLASS', 'Seq', False, 1) - IF(MM11): THEN(MM11_then);0.11764705882352941;0.11764705882352941;0.5294117647058824;0.11764705882352941;0.17647058823529413;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.058823529411764705;0.29411764705882354;0.8823529411764706;0.11764705882352941;0.5294117647058824;0.11764705882352941;0.11764705882352941; ;556;549;7;0;=0* 100 / 556
HBasicState2ProcDef--('DELETE_ELEMENT', 6) - IF(MM5): THEN(MM5_then);0.23529411764705882;0.23529411764705882;0.7058823529411765;0.058823529411764705;0.29411764705882354;0.23529411764705882;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.23529411764705882;0.058823529411764705;0.058823529411764705;0.5882352941176471;0.7058823529411765;0.5882352941176471;0.7058823529411765;0.058823529411764705;0.23529411764705882; ;557;372;177;8;=8* 100 / 557
HBasicState2ProcDef--('DELETE_ELEMENT', 9) - IF(MM5): THEN(MM5_then);0.23529411764705882;0.23529411764705882;0.7058823529411765;0.058823529411764705;0.29411764705882354;0.23529411764705882;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.23529411764705882;0.058823529411764705;0.058823529411764705;0.5882352941176471;0.7058823529411765;0.5882352941176471;0.7058823529411765;0.058823529411764705;0.23529411764705882; ;557;372;177;8;=8* 100 / 557
HBasicState2ProcDef--('RENAME_CLASS', 6, 'TopLevelElement') - IF(MM5): THEN(MM5_then);0.35294117647058826;0.35294117647058826;0.7058823529411765;0.058823529411764705;0.4117647058823529;0.35294117647058826;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.35294117647058826;0.058823529411764705;0.058823529411764705;0.5882352941176471;0.7058823529411765;0.5882352941176471;0.7058823529411765;0.058823529411764705;0.35294117647058826; ;565;372;185;8;=8* 100 / 565
HCompositeState2ProcDef--('DELETE_ELEMENT', 11) - IF(MM11): THEN(MM11_then);0.35294117647058826;0.35294117647058826;0.7058823529411765;0.11764705882352941;0.4117647058823529;0.35294117647058826;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.35294117647058826;0.11764705882352941;0.058823529411764705;0.5882352941176471;0.6470588235294118;0.5882352941176471;0.7058823529411765;0.11764705882352941;0.35294117647058826; ;545;323;121;101;=101* 100 / 545
HCompositeState2ProcDef--('DELETE_ELEMENT', 12) - IF(MM11): THEN(MM11_then);0.17647058823529413;0.17647058823529413;0.7058823529411765;0.11764705882352941;0.23529411764705882;0.17647058823529413;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.17647058823529413;0.11764705882352941;0.058823529411764705;0.5294117647058824;0.6470588235294118;0.5294117647058824;0.7058823529411765;0.11764705882352941;0.17647058823529413; ;563;460;95;8;=8* 100 / 563
