;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;;Num PCs;Sat;NonSat;Und;Percent-Und
HMapRootElementRule--('DELETE_ELEMENT', 4) - UnitR02;1.0;0.058823529411764705;0.058823529411764705;0.058823529411764705;1.0;1.0;0.35294117647058826;0.058823529411764705;0.058823529411764705;1.0;0.058823529411764705;0.058823529411764705;0.058823529411764705;1.0;1.0;0.058823529411764705;0.8823529411764706;0.8823529411764706; ;367;0;184;183;=183* 100 / 367
HState2ProcDef--('ADD_CLASS', 'RootElement', False, 1) - UnitR02;0.35294117647058826;0.5882352941176471;0.8823529411764706;0.29411764705882354;0.6470588235294118;0.29411764705882354;0.29411764705882354;0.29411764705882354;0.29411764705882354;0.29411764705882354;0.29411764705882354;0.29411764705882354;0.8235294117647058;1.0;0.8235294117647058;0.8823529411764706;0.29411764705882354;0.5882352941176471; ;557;374;183;0;=0* 100 / 557
HState2ProcDef--('ADD_ASSOC', 'states', 3, 3, True) - UnitR07c;0.7058823529411765;0.6470588235294118;0.9411764705882353;0.5294117647058824;0.7058823529411765;0.7058823529411765;0.5294117647058824;0.5294117647058824;0.5294117647058824;0.7058823529411765;0.5294117647058824;0.5294117647058824;0.8823529411764706;1.0;1.0;0.9411764705882353;0.5294117647058824;0.6470588235294118; ;557;186;36;335;=335* 100 / 557
HBasicState2ProcDef--('ADD_CLASS', 'RootElement', True, 0) - UnitR02;0.35294117647058826;0.47058823529411764;0.8823529411764706;0.29411764705882354;0.6470588235294118;0.29411764705882354;0.29411764705882354;0.29411764705882354;0.29411764705882354;0.29411764705882354;0.29411764705882354;0.29411764705882354;0.7058823529411765;1.0;0.7058823529411765;0.8823529411764706;0.29411764705882354;0.47058823529411764; ;244;126;59;59;=59* 100 / 244
HBasicState2ProcDef--('ADD_CLASS', 'RootElement', False, 1) - UnitR02;0.058823529411764705;0.17647058823529413;0.5294117647058824;0.058823529411764705;0.23529411764705882;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.29411764705882354;0.11764705882352941;1.0;0.11764705882352941;0.5294117647058824;0.058823529411764705;0.17647058823529413; ;734;492;183;59;=59* 100 / 734
HBasicState2ProcDef--('ADD_ASSOC', 'states', 3, 3, True) - UnitR07c;0.7058823529411765;0.6470588235294118;0.9411764705882353;0.5294117647058824;0.7058823529411765;0.7058823529411765;0.5294117647058824;0.5294117647058824;0.5294117647058824;0.7058823529411765;0.5294117647058824;0.5294117647058824;0.8823529411764706;1.0;1.0;0.9411764705882353;0.5294117647058824;0.6470588235294118; ;734;186;36;512;=512* 100 / 734
HBasicStateNoOutgoing2ProcDef--('ADD_CLASS', 'RootElement', True, 0) - UnitR02;0.35294117647058826;0.5882352941176471;0.8823529411764706;0.29411764705882354;0.6470588235294118;0.29411764705882354;0.29411764705882354;0.29411764705882354;0.29411764705882354;0.29411764705882354;0.29411764705882354;0.29411764705882354;0.8235294117647058;1.0;0.8235294117647058;0.8823529411764706;0.29411764705882354;0.5882352941176471; ;740;374;183;183;=183* 100 / 740
HBasicStateNoOutgoing2ProcDef--('ADD_CLASS', 'RootElement', False, 1) - UnitR02;0.058823529411764705;0.058823529411764705;0.11764705882352941;0.058823529411764705;0.11764705882352941;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.29411764705882354;0.058823529411764705;1.0;0.058823529411764705;0.11764705882352941;0.058823529411764705;0.058823529411764705; ;1106;740;183;183;=183* 100 / 1106
HBasicStateNoOutgoing2ProcDef--('ADD_ASSOC', 'states', 3, 3, True) - UnitR07c;0.11764705882352941;0.11764705882352941;0.29411764705882354;0.11764705882352941;0.17647058823529413;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.5294117647058824;0.11764705882352941;1.0;0.11764705882352941;0.29411764705882354;0.11764705882352941;0.11764705882352941; ;1106;372;36;698;=698* 100 / 1106
HExitPoint2BProcDefWhetherOrNotExitPtHasOutgoingTrans--('ADD_CLASS', 'RootElement', True, 0) - UnitR02;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.17647058823529413;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.35294117647058826;0.058823529411764705;1.0;0.058823529411764705;0.058823529411764705;0.7647058823529411;0.058823529411764705; ;217;103;66;48;=48* 100 / 217
HExitPoint2BProcDefWhetherOrNotExitPtHasOutgoingTrans--('ADD_CLASS', 'RootElement', False, 1) - UnitR02;0.058823529411764705;0.11764705882352941;0.47058823529411764;0.058823529411764705;0.17647058823529413;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.35294117647058826;0.11764705882352941;1.0;0.058823529411764705;0.47058823529411764;0.058823529411764705;0.11764705882352941; ;557;374;135;48;=48* 100 / 557
HExitPoint2BProcDefWhetherOrNotExitPtHasOutgoingTrans--('ADD_ASSOC', 'states', 3, 3, True) - UnitR07c;0.17647058823529413;0.23529411764705882;0.5294117647058824;0.17647058823529413;0.29411764705882354;0.17647058823529413;0.17647058823529413;0.17647058823529413;0.17647058823529413;0.17647058823529413;0.17647058823529413;0.5882352941176471;0.29411764705882354;1.0;0.23529411764705882;0.5294117647058824;0.17647058823529413;0.23529411764705882; ;557;186;24;347;=347* 100 / 557
HExitPoint2BProcDefWhetherOrNotExitPtHasOutgoingTrans--('DELETE_ELEMENT', 5) - UnitR07c;0.23529411764705882;0.29411764705882354;0.47058823529411764;0.23529411764705882;0.29411764705882354;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.6470588235294118;0.29411764705882354;1.0;0.23529411764705882;0.47058823529411764;0.23529411764705882;0.29411764705882354; ;437;144;24;269;=269* 100 / 437
HExitPoint2BProcDefWhetherOrNotExitPtHasOutgoingTrans--('DELETE_ELEMENT', 6) - UnitR05a;1.0;0.47058823529411764;0.47058823529411764;0.47058823529411764;1.0;1.0;0.47058823529411764;0.47058823529411764;0.47058823529411764;1.0;0.47058823529411764;0.47058823529411764;0.47058823529411764;1.0;1.0;0.47058823529411764;0.9411764705882353;0.9411764705882353; ;287;0;272;15;=15* 100 / 287
HExitPoint2BProcDefWhetherOrNotExitPtHasOutgoingTrans--('DELETE_ELEMENT', 7) - UnitR05a;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;1.0;0.35294117647058826;0.9411764705882353;0.9411764705882353; ;557;0;812;-255;=-255* 100 / 557
HExitPoint2BProcDefWhetherOrNotExitPtHasOutgoingTrans--('DELETE_ELEMENT', 8) - UnitR05a;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;1.0;0.35294117647058826;0.8823529411764706;0.8823529411764706; ;351;0;400;-49;=-49* 100 / 351
HExitPoint2BProcDefWhetherOrNotExitPtHasOutgoingTrans--('DELETE_ELEMENT', 9) - UnitR05a;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;1.0;0.35294117647058826;0.9411764705882353;0.9411764705882353; ;557;0;812;-255;=-255* 100 / 557
HExitPoint2BProcDefWhetherOrNotExitPtHasOutgoingTrans--('DELETE_ELEMENT', 12) - UnitR05a;1.0;0.47058823529411764;0.47058823529411764;0.47058823529411764;1.0;1.0;0.47058823529411764;0.47058823529411764;0.47058823529411764;1.0;0.47058823529411764;0.47058823529411764;0.47058823529411764;1.0;1.0;0.47058823529411764;0.9411764705882353;0.9411764705882353; ;287;0;272;15;=15* 100 / 287
HExitPoint2BProcDefWhetherOrNotExitPtHasOutgoingTrans--('DELETE_ELEMENT', 13) - UnitR05a;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;1.0;0.35294117647058826;0.9411764705882353;0.9411764705882353; ;557;0;812;-255;=-255* 100 / 557
HExitPoint2BProcDefWhetherOrNotExitPtHasOutgoingTrans--('DELETE_ELEMENT', 14) - UnitR05a;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;1.0;0.35294117647058826;0.9411764705882353;0.9411764705882353; ;557;0;812;-255;=-255* 100 / 557
HExitPoint2BProcDefWhetherOrNotExitPtHasOutgoingTrans--('DELETE_ELEMENT', 15) - UnitR07c;0.23529411764705882;0.29411764705882354;0.5294117647058824;0.23529411764705882;0.29411764705882354;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.6470588235294118;0.35294117647058826;1.0;0.29411764705882354;0.5294117647058824;0.23529411764705882;0.29411764705882354; ;571;186;24;361;=361* 100 / 571
HExitPoint2BProcDefWhetherOrNotExitPtHasOutgoingTrans--('DELETE_EQUATION', 0) - UnitR05a;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;1.0;0.35294117647058826;0.9411764705882353;0.9411764705882353; ;557;0;812;-255;=-255* 100 / 557
HExitPoint2BProcDefWhetherOrNotExitPtHasOutgoingTrans--('DELETE_EQUATION', 1) - UnitR05a;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;1.0;0.35294117647058826;0.9411764705882353;0.9411764705882353; ;557;0;812;-255;=-255* 100 / 557
HExitPoint2BProcDefWhetherOrNotExitPtHasOutgoingTrans--('DELETE_EQUATION', 2) - UnitR05a;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;1.0;0.35294117647058826;0.9411764705882353;0.9411764705882353; ;557;0;812;-255;=-255* 100 / 557
HExitPoint2BProcDefWhetherOrNotExitPtHasOutgoingTrans--('RENAME_CLASS', 5, 'Proc') - UnitR05a;1.0;0.4117647058823529;0.4117647058823529;0.4117647058823529;1.0;1.0;0.4117647058823529;0.4117647058823529;0.4117647058823529;1.0;0.4117647058823529;0.4117647058823529;0.4117647058823529;1.0;1.0;0.4117647058823529;0.9411764705882353;0.9411764705882353; ;437;0;572;-135;=-135* 100 / 437
HExitPoint2BProcDefWhetherOrNotExitPtHasOutgoingTrans--('RENAME_CLASS', 5, 'TopLevelElement') - UnitR05a;1.0;0.4117647058823529;0.4117647058823529;0.4117647058823529;1.0;1.0;0.4117647058823529;0.4117647058823529;0.4117647058823529;1.0;0.4117647058823529;0.4117647058823529;0.4117647058823529;1.0;1.0;0.4117647058823529;0.9411764705882353;0.9411764705882353; ;437;0;572;-135;=-135* 100 / 437
HExitPoint2BProcDefWhetherOrNotExitPtHasOutgoingTrans--('RENAME_CLASS', 6, 'Def') - UnitR05a;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;1.0;0.35294117647058826;0.9411764705882353;0.9411764705882353; ;557;0;812;-255;=-255* 100 / 557
HExitPoint2BProcDefWhetherOrNotExitPtHasOutgoingTrans--('RENAME_CLASS', 7, 'TopLevelElement') - UnitR05a;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;1.0;0.35294117647058826;0.9411764705882353;0.9411764705882353; ;565;0;828;-263;=-263* 100 / 565
HExitPoint2BProcDefWhetherOrNotExitPtHasOutgoingTrans--('RENAME_CLASS', 8, 'Proc') - UnitR05a;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;0.35294117647058826;0.35294117647058826;0.35294117647058826;1.0;1.0;0.35294117647058826;0.8823529411764706;0.8823529411764706; ;359;0;416;-57;=-57* 100 / 359
