;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;;Num PCs;Sat;NonSat;Und;Percent-Und
HCategory2Category--('DELETE_ELEMENT', 4) - UnitC2C;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.6428571428571428;0.5714285714285714;0.7142857142857142;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.9285714285714286;0.5714285714285714;0.14285714285714285;0.5714285714285714;0.5; ;5;0;3;2;=2* 100 / 5
HCategory2Category--('DELETE_EQUATION', 0) - UnitC2C;0.5714285714285714;0.4285714285714286;0.4285714285714286;0.4285714285714286;0.5714285714285714;0.5714285714285714;0.7142857142857143;0.4285714285714286;0.4285714285714286;0.5714285714285714;0.4285714285714286;0.4285714285714286;0.4285714285714286;0.7142857142857143;0.5714285714285714;0.4285714285714286;0.5714285714285714;0.5714285714285714; ;4;0;2;2;=2* 100 / 4
HCategory2Category--('DELETE_EQUATION', 1) - UnitC2C;0.5714285714285714;0.4285714285714286;0.4285714285714286;0.4285714285714286;0.5714285714285714;0.5714285714285714;0.7142857142857143;0.4285714285714286;0.4285714285714286;0.5714285714285714;0.4285714285714286;0.4285714285714286;0.4285714285714286;0.7142857142857143;0.5714285714285714;0.4285714285714286;0.5714285714285714;0.5714285714285714; ;4;0;2;2;=2* 100 / 4
HChannel2ATOM--('ADD_CLASS', 'Category', True, 0) - UnitC2C;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;1.0;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285; ;1;0;1;0;=0* 100 / 1
HChannel2ATOM--('ADD_CLASS', 'Category', True, 0) - UnitConnectCAE;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;1.0;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285; ;1;0;1;0;=0* 100 / 1
HChannel2ATOM--('ADD_CLASS', 'Category', True, 0) - UnitConnectCAG;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;1.0;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285; ;1;0;1;0;=0* 100 / 1
HChannel2ATOM--('ADD_CLASS', 'Channel', True, 0) - UnitConnectCAE;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;1.0;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285; ;1;0;1;0;=0* 100 / 1
HChannel2ATOM--('ADD_CLASS', 'Channel', True, 0) - UnitConnectCAG;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;1.0;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285; ;1;0;1;0;=0* 100 / 1
HChannel2ATOM--('ADD_CLASS', 'Cloud', True, 0) - UnitConnectCAE;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;1.0;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285; ;1;0;1;0;=0* 100 / 1
HChannel2ATOM--('ADD_CLASS', 'Cloud', True, 0) - UnitConnectCAG;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;1.0;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285; ;1;0;1;0;=0* 100 / 1
HChannel2ATOM--('ADD_CLASS', 'Enclosure', True, 0) - UnitConnectCAE;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;1.0;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285; ;1;0;1;0;=0* 100 / 1
HChannel2ATOM--('ADD_CLASS', 'Enclosure', True, 0) - UnitConnectCAG;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;1.0;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285; ;1;0;1;0;=0* 100 / 1
HChannel2ATOM--('ADD_CLASS', 'Image', True, 0) - UnitConnectCAE;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;1.0;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285; ;1;0;1;0;=0* 100 / 1
HChannel2ATOM--('ADD_CLASS', 'Image', True, 0) - UnitConnectCAG;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;1.0;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285; ;1;0;1;0;=0* 100 / 1
HChannel2ATOM--('ADD_CLASS', 'Item', True, 0) - UnitConnectCAE;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;1.0;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285; ;1;0;1;0;=0* 100 / 1
HChannel2ATOM--('ADD_CLASS', 'Item', True, 0) - UnitConnectIEC;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;1.0;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285; ;1;0;1;0;=0* 100 / 1
HChannel2ATOM--('ADD_CLASS', 'Item', True, 0) - UnitConnectCAG;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;1.0;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285; ;1;0;1;0;=0* 100 / 1
HChannel2ATOM--('ADD_CLASS', 'RSS', True, 0) - UnitConnectCAE;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;1.0;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285; ;1;0;1;0;=0* 100 / 1
HChannel2ATOM--('ADD_CLASS', 'RSS', True, 0) - UnitConnectCAG;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;1.0;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.5714285714285714;0.14285714285714285;0.14285714285714285;0.14285714285714285; ;1;0;1;0;=0* 100 / 1
